ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Strephochetus,brainerdi,"Seely, 1886","Seely, H. M."
Halichondria,braziliensis,"Hechtel, 1983","Hechtel, G. J."
Ptilocaulis,braziliensis,"(Hechtel, 1983)",
Stylaxinella,braziliensis,"Hechtel, 1983","Hechtel, G. J."
Aaata,brepha,"de Laubenfels, 1930","de Laubenfels, M. W."
Anaata,brepha,"(de Laubenfels, 1930)",
Clathria,brepha,"(de Laubenfels, 1930)",
Hymedesmia,brepha,"(de Laubenfels, 1930)",
Quasillina,brevis,"(Bowerbank, 1861)",
Siphonodictyon,brevitubulatum,"Pang, 1973","Pang, R. K."
Eusiphonella,bronni,,
Tedania,brucei,"Wilson, 1894","Wilson, H. V."
Dercitus,bucklandi,"(Bowerbank, 1858)",
Goldsonia,burntensis,(Shrock & Twenhofel),
Ischadites,burntensis,(Shrock & Twenhofel),
Astylospongia,bursa,,
Weberella,bursa,"(Müller, 1806)",
Astylospongia,bussa,,
Halichondria,C1,,
Halichondria,C2,,
Haliclona,caerulea,"(Hechtel, 1965)",
Sigmadocia,caerulea,"Hechtel, 1965","Hechtel, G. J."
Willardia,caicosensis,Willenz & Pomponi,
Fasciospongia,caliculata,"(von Ledendenfeld, 1889)",
Tethya,californiana,"de Laubenfels, 1932","de Laubenfels, M. W."
Axociella,calla,"de Laubenfels, 1934","de Laubenfels, M. W."
Clathria,calla,"(de Laubenfels, 1934)",
Dactylocalyx,callocyathus,,
Heterochone,calyx,(Schulze),
Xestospongia,calyx,"de Laubenfels, 1950","de Laubenfels, M. W."
Cacospongia,camera,"de Laubenfels, 1936","de Laubenfels, M. W."
Dendrilla,camera,"(de Laubenfels, 1936)",
Psammaplysilla,camera,"(de Laubenfels, 1936)",
Hircinia,campana,"(Lamarck, 1814)",
Hircinia,campana,,
Hircinia,campana,,
Ircinia,campana,"(Lamarck, 1814)",
Polytherses,campana,"(Lamarck, 1814)",
Clathria,campecheae,"Hooper, 1996","Hooper, J. N."
Haliclona,canaliculata,"Hartman, 1958","Hartman, W. D."
Arthuria,canariensis,"(Miklucho-Maclay, 1868)",
Leucosolenia,canariensis,"(Miklucho-Maclay, 1868)",
Clathrina,cancellata,"(Verrill, 1873)",
Leucosolenia,cancellata,"Verrill, 1873","Verrill, A. E."
Leucosolenia,cancellata,"Verrill, 1873","Verrill, A. E."
Polytherses,capitata,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Polytherses,capitata,"Duchassaing & Michelotti, 1864","Michelotti, G."
Seliscothon,capitatum,,
Hircinia,caracasensis,"Carter, 1882","Carter, H. J."
Hyrtios,caracasensis,"(Carter, 1882)",
Adocia,carbonaria,(Lamarck),
Neopetrosia,carbonaria,"(Lamarck, 1814)",
Pellina,carbonaria,"Lamarck, 1814","Lamarck, J. P."
Thalysias,carbonaria,"(Lamarck, 1814)",
Calathospongia,carceralis,Hall & Clarke,
Cliona,caribbaea,"Carter, 1882","Carter, H. J."
Geodia,cariboea,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
